timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271474.6121309,-0.006,-0.02,1.034,-2.808,1.923,-0.298,-514.197,96.593,19.614
1753271474.732312,-0.006,-0.022,1.028,-2.769,1.869,-0.313,-514.015,94.959,19.089
1753271474.8510666,-0.006,-0.021,1.032,-2.769,1.915,-0.298,-512.744,96.23,21.715
1753271474.9705355,-0.006,-0.021,1.036,-2.731,1.9,-0.298,-514.197,97.683,20.665
1753271475.0901997,-0.005,-0.022,1.033,-2.716,1.907,-0.298,-514.56,98.409,21.365
1753271475.2100668,-0.005,-0.021,1.032,-2.769,1.938,-0.343,-511.473,97.864,19.789
1753271475.3289824,-0.006,-0.02,1.032,-2.724,1.991,-0.275,0,0,0
1753271475.44664,-0.005,-0.021,1.033,-2.724,1.892,-0.359,-512.744,96.957,19.964
1753271475.5652206,-0.004,-0.022,1.028,-2.647,1.915,-0.252,-512.744,98.409,20.314
1753271475.6893373,-0.006,-0.021,1.031,-2.663,2.022,-0.374,-514.197,96.957,21.715
1753271475.8528993,-0.006,-0.021,1.034,-2.785,1.907,-0.374,-514.56,93.688,21.015
1753271476.001107,-0.006,-0.02,1.029,-2.693,1.991,-0.343,-512.018,96.593,22.066
1753271476.1584468,-0.004,-0.022,1.033,-2.739,1.93,-0.298,-514.742,97.138,23.291
1753271476.317699,-0.006,-0.02,1.028,-2.754,1.907,-0.374,-512.2,95.686,22.591
1753271476.4479122,-0.005,-0.022,1.031,-2.792,1.869,-0.305,-512.018,96.957,21.715
1753271476.5659728,-0.003,-0.021,1.031,-2.777,1.961,-0.336,-511.473,94.959,21.54
1753271476.683449,-0.005,-0.02,1.03,-2.678,2.022,-0.252,-514.378,99.317,19.439
1753271476.8033552,-0.005,-0.021,1.031,-2.594,1.953,-0.366,-511.292,97.32,21.715
1753271476.9232638,-0.006,-0.022,1.03,-2.747,1.923,-0.298,-513.107,98.046,20.314
1753271477.046232,-0.006,-0.021,1.03,-2.739,1.862,-0.366,-511.11,97.864,21.891
1753271477.1743214,-0.006,-0.021,1.029,-2.716,1.961,-0.32,-513.289,97.864,19.789
1753271477.2990952,-0.007,-0.021,1.03,-2.701,1.976,-0.313,-513.107,95.141,21.365
1753271477.4315054,-0.005,-0.021,1.03,-2.724,1.923,-0.282,-510.384,99.68,22.591
1753271477.5834706,-0.004,-0.02,1.03,-2.739,1.968,-0.298,-513.652,96.775,20.49
