frame_idx,t_capture_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[90, 1.214742660522461, 57.4953556060791, 1.941680908203125, 2.5501251220703125, 63.201904296875, 15.822308063737324]"
"[91, 1.1813640594482422, 60.45389175415039, 1.9619464874267578, 2.488374710083008, 66.0855770111084, 15.131894813173968]"
"[92, 1.1849403381347656, 58.20322036743164, 1.9390583038330078, 2.4902820587158203, 63.817501068115234, 15.669682818395787]"
"[93, 1.2030601501464844, 57.52396583557129, 1.9469261169433594, 2.5124549865722656, 63.1864070892334, 15.826188670417284]"
"[94, 1.2116432189941406, 59.919118881225586, 1.9378662109375, 2.485990524291992, 65.55461883544922, 15.254455258295874]"
"[95, 1.6219615936279297, 75.836181640625, 1.9674301147460938, 2.516031265258789, 81.94160461425781, 12.203812760410605]"
"[96, 1.3720989227294922, 60.75310707092285, 1.958608627319336, 2.5005340576171875, 66.58434867858887, 15.018544445439083]"
"[97, 1.2323856353759766, 58.71748924255371, 1.9464492797851562, 2.516031265258789, 64.41235542297363, 15.52497177650695]"
"[98, 1.245737075805664, 57.43718147277832, 1.920938491821289, 2.4852752685546875, 63.08913230895996, 15.85059048050942]"
"[99, 0.8814334869384766, 61.31696701049805, 1.912832260131836, 2.4852752685546875, 66.59650802612305, 15.015802324166028]"
"[100, 1.2748241424560547, 59.114694595336914, 1.9497871398925781, 2.5141239166259766, 64.85342979431152, 15.419384960388214]"
"[101, 1.184701919555664, 57.75594711303711, 1.936197280883789, 2.505064010620117, 63.38191032409668, 15.777372358873471]"
"[102, 1.3120174407958984, 57.828426361083984, 1.950979232788086, 2.492189407348633, 63.5836124420166, 15.727322836712425]"
"[103, 1.2402534484863281, 58.89439582824707, 1.9338130950927734, 2.4721622467041016, 64.54062461853027, 15.494117169000713]"
"[104, 0.8957386016845703, 58.17270278930664, 1.9304752349853516, 2.4919509887695312, 63.490867614746094, 15.750296657904618]"
"[105, 1.2714862823486328, 59.38911437988281, 1.93023681640625, 2.491474151611328, 65.08231163024902, 15.365157981500138]"
"[106, 2.0761489868164062, 60.660600662231445, 1.9435882568359375, 2.5060176849365234, 67.18635559082031, 14.883974449964514]"
"[107, 1.203298568725586, 58.14933776855469, 1.9309520721435547, 2.497434616088867, 63.781023025512695, 15.678644721643858]"
"[108, 1.291036605834961, 62.29424476623535, 1.924276351928711, 2.508878707885742, 68.01843643188477, 14.701896316029304]"
"[109, 1.3735294342041016, 60.581207275390625, 1.9259452819824219, 2.5441646575927734, 66.42484664916992, 15.054607582033409]"
"[110, 1.2204647064208984, 59.44991111755371, 1.955270767211914, 2.4917125701904297, 65.11735916137695, 15.356888130579009]"
"[111, 1.0631084442138672, 59.39674377441406, 1.940011978149414, 2.499103546142578, 64.89896774291992, 15.408565571662638]"
"[112, 1.298666000366211, 58.33172798156738, 1.9702911376953125, 2.4671554565429688, 64.06784057617188, 15.60845489729086]"
"[113, 1.0020732879638672, 59.415340423583984, 1.9543170928955078, 2.4728775024414062, 64.84460830688477, 15.421482619917787]"
"[114, 1.0859966278076172, 58.632850646972656, 1.9469261169433594, 2.49481201171875, 64.16058540344238, 15.585892705186374]"
"[115, 1.1858940124511719, 58.5634708404541, 1.9919872283935547, 2.4895668029785156, 64.23091888427734, 15.568826001098723]"
"[116, 1.1687278747558594, 58.623552322387695, 1.9474029541015625, 2.488851547241211, 64.22853469848633, 15.569403921393944]"
"[117, 1.1775493621826172, 58.70389938354492, 1.9402503967285156, 2.4793148040771484, 64.3010139465332, 15.551854296286958]"
"[118, 1.2052059173583984, 58.64858627319336, 1.9123554229736328, 2.54058837890625, 64.30673599243164, 15.550470484424704]"
"[119, 1.070261001586914, 57.700395584106445, 1.9195079803466797, 2.485036849975586, 63.175201416015625, 15.828995833584928]"
"[120, 1.1832714080810547, 58.83646011352539, 1.9447803497314453, 2.485036849975586, 64.44954872131348, 15.516012444464174]"
"[121, 1.2280941009521484, 58.585166931152344, 1.9278526306152344, 2.4957656860351562, 64.23687934875488, 15.567381388046572]"
"[122, 1.1913776397705078, 58.97235870361328, 1.9581317901611328, 2.4862289428710938, 64.60809707641602, 15.477936129541748]"
"[123, 1.1925697326660156, 59.052228927612305, 1.9426345825195312, 2.5014877319335938, 64.68892097473145, 15.458597622777113]"
"[124, 1.1992454528808594, 58.466434478759766, 1.9252300262451172, 2.482175827026367, 64.07308578491211, 15.607177143877772]"
"[125, 1.3682842254638672, 58.52222442626953, 1.9495487213134766, 2.4886131286621094, 64.32867050170898, 15.545168152875684]"
"[126, 1.1775493621826172, 57.637691497802734, 1.934051513671875, 2.4976730346679688, 63.246965408325195, 15.811035257485571]"
"[127, 1.1959075927734375, 58.20441246032715, 1.9373893737792969, 3.338336944580078, 64.67604637145996, 15.461674856508806]"
"[128, 1.3875961303710938, 61.049699783325195, 1.9211769104003906, 2.5920867919921875, 66.95055961608887, 14.93639494179359]"
"[129, 1.317739486694336, 59.72003936767578, 1.928091049194336, 2.4871826171875, 65.45305252075195, 15.278126252140021]"
"[130, 1.3163089752197266, 58.7308406829834, 1.9237995147705078, 2.507448196411133, 64.47839736938477, 15.509070336708056]"
"[131, 1.138925552368164, 59.17787551879883, 1.9483566284179688, 2.504587173461914, 64.76974487304688, 15.43930737970434]"
"[132, 1.1208057403564453, 56.79059028625488, 1.9421577453613281, 2.516031265258789, 62.369585037231445, 16.03345604116255]"
"[133, 1.2483596801757812, 55.45401573181152, 1.9147396087646484, 2.4716854095458984, 61.08880043029785, 16.36961264513611]"
"[134, 1.1363029479980469, 55.85432052612305, 1.9390583038330078, 2.654552459716797, 61.5842342376709, 16.23792213021142]"
"[135, 1.232147216796875, 60.904502868652344, 1.93023681640625, 2.4814605712890625, 66.54834747314453, 15.026669150628395]"
"[136, 1.2657642364501953, 60.24575233459473, 1.9266605377197266, 2.504587173461914, 65.94276428222656, 15.164666068897695]"
"[137, 1.2960433959960938, 59.946537017822266, 1.93023681640625, 2.4871826171875, 65.65999984741211, 15.229972621442421]"
"[138, 1.2333393096923828, 57.18183517456055, 1.9431114196777344, 2.473592758178711, 62.831878662109375, 15.915487827090036]"
"[139, 1.3828277587890625, 57.807207107543945, 2.0902156829833984, 2.507448196411133, 63.78769874572754, 15.677003868508102]"
"[140, 1.2059211730957031, 59.66043472290039, 2.7954578399658203, 2.4919509887695312, 66.15376472473145, 15.116297676497194]"
"[141, 1.2011528015136719, 59.31711196899414, 1.940011978149414, 2.482891082763672, 64.9411678314209, 15.398552773117265]"
"[142, 1.1186599731445312, 58.51125717163086, 1.9450187683105469, 2.512216567993164, 64.0871524810791, 15.60375147413886]"
